0 5.54545
1 5.15743 0.388027
2 4.82648 0.330948
3 4.5445 0.281981
4 4.30451 0.239988
5 4.10051 0.203997
6 3.92734 0.173175
7 3.78053 0.146806
8 3.65626 0.124275
9 3.55121 0.105051
10 3.46253 0.088675
11 3.38778 0.074749
12 3.32486 0.0629275
13 3.27195 0.0529107
14 3.22751 0.0444379
15 3.19023 0.0372835
16 3.15897 0.0312518
17 3.1328 0.0261744
18 3.11089 0.0219059
19 3.09257 0.0183218
20 3.07726 0.0153157
21 3.06446 0.0127966
22 3.05377 0.0106876
23 3.04485 0.00892299
24 3.0374 0.00744754
25 3.03119 0.00621449
26 3.026 0.00518449
27 3.02168 0.00432443
28 3.01807 0.00360649
29 3.01506 0.00300737
30 3.01256 0.0025075
31 3.01047 0.00209054
32 3.00872 0.00174278
33 3.00727 0.00145277
34 3.00606 0.00121097
35 3.00505 0.00100936
36 3.00421 0.000841289
37 3.00351 0.000701182
38 3.00292 0.000584393
39 3.00244 0.000487046
40 3.00203 0.000405908
41 3.00169 0.000338282
42 3.00141 0.000281919
43 3.00117 0.000234945
44 3.00098 0.000195796
45 3.00082 0.000163169
46 3.00068 0.000135978
47 3.00057 0.000113318
48 3.00047 9.44336e-05
49 3.00039 7.8696e-05
50 3.00033 6.5581e-05
51 3.00027 5.46515e-05
52 3.00023 4.55433e-05
53 3.00019 3.79531e-05
54 3.00016 3.16278e-05
55 3.00013 2.63567e-05
56 3.00011 2.1964e-05
57 3.00009 1.83034e-05
58 3.00008 1.52529e-05
59 3.00006 1.27108e-05
60 3.00005 1.05923e-05
61 3.00004 8.82696e-06
62 3.00004 7.35581e-06
63 3.00003 6.12985e-06
64 3.00003 5.10822e-06
65 3.00002 4.25685e-06
66 3.00002 3.54738e-06
67 3.00001 2.95615e-06
68 3.00001 2.46346e-06
69 3.00001 2.05288e-06
70 3.00001 1.71074e-06
71 3.00001 1.42561e-06
72 3.00001 1.18801e-06
73 3 9.90011e-07
74 3 8.25009e-07
75 3 6.87508e-07
76 3 5.72923e-07
77 3 4.77436e-07
78 3 3.97863e-07
79 3 3.31553e-07
80 3 2.76294e-07
81 3 2.30245e-07
82 3 1.91871e-07
83 3 1.59892e-07
84 3 1.33244e-07
85 3 1.11036e-07
86 3 9.25303e-08
87 3 7.71086e-08
88 3 6.42572e-08
89 3 5.35477e-08
90 3 4.4623e-08
91 3 3.71859e-08
92 3 3.09882e-08
93 3 2.58235e-08
94 3 2.15196e-08
95 3 1.7933e-08
96 3 1.49442e-08
97 3 1.24535e-08
98 3 1.03779e-08
99 3 8.64825e-09
100 3 7.20687e-09
101 3 6.00573e-09
102 3 5.00477e-09
103 3 4.17064e-09
104 3 3.47554e-09
105 3 2.89628e-09
106 3 2.41357e-09
107 3 2.01131e-09
108 3 1.67609e-09
109 3 1.39674e-09
110 3 1.16395e-09
111 3 9.69958e-10
112 3 8.08299e-10
113 3 6.73582e-10
114 3 5.61319e-10
115 3 4.67765e-10
116 3 3.89805e-10
117 3 3.24837e-10
118 3 2.70698e-10
119 3 2.25581e-10
120 3 1.87984e-10
121 3 1.56654e-10
122 3 1.30544e-10
123 3 1.08787e-10
124 3 9.06559e-11
125 3 7.55467e-11
126 3 6.29554e-11
127 3 5.24629e-11
128 3 4.37193e-11
129 3 3.64326e-11
130 3 3.03606e-11
131 3 2.53007e-11
132 3 2.10836e-11
133 3 1.75699e-11
134 3 1.46416e-11
135 3 1.22014e-11
136 3 1.01674e-11
137 3 8.47322e-12
138 3 7.06102e-12
139 3 5.88418e-12
140 3 4.90319e-12
141 3 4.08606e-12
142 3 3.40528e-12
143 3 2.83773e-12
144 3 2.36478e-12
145 3 1.97042e-12
146 3 1.64224e-12
147 3 1.36824e-12
148 3 1.14042e-12
149 3 9.50351e-13
