0 3.99835
1 3.99672 0.00163166
2 3.84002 0.156705
3 3.75944 0.0805803
4 3.66837 0.0910652
5 3.59406 0.074312
6 3.52566 0.0684029
7 3.46564 0.0600131
8 3.41206 0.0535831
9 3.36458 0.0474765
10 3.32243 0.0421544
11 3.28506 0.037368
12 3.25194 0.0331203
13 3.2226 0.0293356
14 3.19663 0.0259725
15 3.17365 0.0229841
16 3.15332 0.0203314
17 3.13534 0.0179779
18 3.11945 0.0158914
19 3.1054 0.0140425
20 3.093 0.0124052
21 3.08204 0.010956
22 3.07237 0.00967379
23 3.06383 0.00853983
24 3.05629 0.00753737
25 3.04964 0.00665145
26 3.04377 0.00586877
27 3.03859 0.00517748
28 3.03403 0.00456707
29 3.03 0.00402818
30 3.02645 0.00355255
31 3.02331 0.0031328
32 3.02055 0.00276244
33 3.01812 0.00243571
34 3.01597 0.00214749
35 3.01408 0.00189327
36 3.01241 0.00166908
37 3.01093 0.00147137
38 3.00964 0.00129703
39 3.00849 0.00114331
40 3.00749 0.00100778
41 3.0066 0.000888297
42 3.00582 0.000782961
43 3.00513 0.000690102
44 3.00452 0.000608246
45 3.00398 0.000536091
46 3.00351 0.000472489
47 3.00309 0.000416428
48 3.00273 0.000367015
49 3.0024 0.000323462
50 3.00212 0.000285075
51 3.00187 0.000251242
52 3.00164 0.000221423
53 3.00145 0.000195142
54 3.00128 0.000171979
55 3.00113 0.000151565
56 3.00099 0.000133574
57 3.00087 0.000117718
58 3.00077 0.000103744
59 3.00068 9.14281e-05
60 3.0006 8.05743e-05
61 3.00053 7.10089e-05
62 3.00046 6.2579e-05
63 3.00041 5.51497e-05
64 3.00036 4.86024e-05
65 3.00032 4.28323e-05
66 3.00028 3.77472e-05
67 3.00025 3.32657e-05
68 3.00022 2.93163e-05
69 3.00019 2.58358e-05
70 3.00017 2.27685e-05
71 3.00015 2.00653e-05
72 3.00013 1.7683e-05
73 3.00012 1.55836e-05
74 3.0001 1.37334e-05
75 3.00009 1.21029e-05
76 3.00008 1.0666e-05
77 3.00007 9.39963e-06
78 3.00006 8.28364e-06
79 3.00005 7.30015e-06
80 3.00005 6.43342e-06
81 3.00004 5.6696e-06
82 3.00004 4.99646e-06
83 3.00003 4.40324e-06
84 3.00003 3.88045e-06
85 3.00003 3.41974e-06
86 3.00002 3.01372e-06
87 3.00002 2.6559e-06
88 3.00002 2.34057e-06
89 3.00002 2.06268e-06
90 3.00001 1.81778e-06
91 3.00001 1.60196e-06
92 3.00001 1.41176e-06
93 3.00001 1.24415e-06
94 3.00001 1.09643e-06
95 3.00001 9.66254e-07
96 3.00001 8.51532e-07
97 3.00001 7.50431e-07
98 3 6.61334e-07
99 3 5.82815e-07
100 3 5.13618e-07
101 3 4.52637e-07
102 3 3.98896e-07
103 3 3.51536e-07
104 3 3.09798e-07
105 3 2.73016e-07
106 3 2.40602e-07
107 3 2.12035e-07
108 3 1.86861e-07
109 3 1.64675e-07
110 3 1.45123e-07
111 3 1.27893e-07
112 3 1.12709e-07
113 3 9.93268e-08
114 3 8.75339e-08
115 3 7.71411e-08
116 3 6.79823e-08
117 3 5.99108e-08
118 3 5.27977e-08
119 3 4.65291e-08
120 3 4.10048e-08
121 3 3.61364e-08
122 3 3.18459e-08
123 3 2.80649e-08
124 3 2.47328e-08
125 3 2.17963e-08
126 3 1.92085e-08
127 3 1.69279e-08
128 3 1.49181e-08
129 3 1.31469e-08
130 3 1.1586e-08
131 3 1.02104e-08
132 3 8.99811e-09
133 3 7.92977e-09
134 3 6.98828e-09
135 3 6.15857e-09
136 3 5.42738e-09
137 3 4.78299e-09
138 3 4.21511e-09
139 3 3.71466e-09
140 3 3.27362e-09
141 3 2.88495e-09
142 3 2.54242e-09
143 3 2.24057e-09
144 3 1.97455e-09
145 3 1.74011e-09
146 3 1.53351e-09
147 3 1.35144e-09
148 3 1.19099e-09
149 3 1.04958e-09
150 3 9.24966e-10
151 3 8.15146e-10
152 3 7.18365e-10
153 3 6.33074e-10
154 3 5.57911e-10
155 3 4.91671e-10
156 3 4.33296e-10
157 3 3.81851e-10
158 3 3.36514e-10
159 3 2.96561e-10
160 3 2.6135e-10
161 3 2.30321e-10
162 3 2.02975e-10
163 3 1.78876e-10
164 3 1.57638e-10
165 3 1.38922e-10
166 3 1.22428e-10
167 3 1.07892e-10
168 3 9.50826e-11
169 3 8.37934e-11
170 3 7.38449e-11
171 3 6.50773e-11
172 3 5.73506e-11
173 3 5.05418e-11
174 3 4.45408e-11
175 3 3.92526e-11
176 3 3.45923e-11
177 3 3.04849e-11
178 3 2.68656e-11
179 3 2.36762e-11
180 3 2.08646e-11
181 3 1.8388e-11
182 3 1.62044e-11
183 3 1.42806e-11
184 3 1.2585e-11
185 3 1.10907e-11
186 3 9.77396e-12
187 3 8.61355e-12
188 3 7.59082e-12
189 3 6.68976e-12
190 3 5.89528e-12
191 3 5.1954e-12
192 3 4.57856e-12
193 3 4.03499e-12
194 3 3.55582e-12
195 3 3.13394e-12
196 3 2.76179e-12
197 3 2.43361e-12
198 3 2.14495e-12
199 3 1.89004e-12
200 3 1.66578e-12
201 3 1.46816e-12
202 3 1.29363e-12
203 3 1.13998e-12
204 3 1.00497e-12
205 3 8.85514e-13
